id,nombre,tipo_perfil,pelicula_1,pelicula_2,pelicula_3,pelicula_4,pelicula_5,query
U01,Valentina,definido,Durmiendo con su enemigo,Más allá de la muerte,Desaparecida,¡Olvídate de mí!,The Crazies,Quiero una película donde una mujer enfrenta una amenaza invisible que viene de alguien cercano
U02,Rodrigo,definido,Adiós Bafana,Mi pie izquierdo,L.A. Confidential,Érase una vez en América,El juego del halcón,Busco algo basado en hechos reales sobre corrupción o poder político
U03,Camila,definido,Los padres de él,Mamá a la fuerza,Norbit,Elizabethtown,My Sassy Girl,Una comedia donde la relación entre dos personas empieza de forma ridícula o accidental
U04,Tomás,definido,Matrix,Fahrenheit 451,¡Olvídate de mí!,X-Men,El único,"Algo que haga pensar sobre qué es real y qué es una construcción, con acción pero también ideas"
U05,Lucía,definido,La novia cadáver,Spirit: El corcel indomable,Las aventuras de Peabody y Sherman,Los Increíbles,Steamboy,Animación donde el protagonista lucha por su libertad o identidad en un mundo que lo oprime
U06,Martín,definido,Bienvenidos a Collinwood,El gran golpe,L.A. Confidential,Sympathy for Mr. Vengeance,La otra cara del crimen,Un grupo de personas planea un robo o estafa y las cosas se complican de forma inesperada
U07,Sofía,definido,Velvet Goldmine,"Cuanto más, ¡mejor!",La vida de bohemia,Cero en conducta,Corazón salvaje,"Una película sobre músicos o artistas que viven al margen, con mucha atmósfera y estilo visual"
U08,Diego,definido,Superdetective en Hollywood,Mission: Impossible,Misión: Imposible 3,Walker Texas Ranger,300,Acción directa con un héroe que trabaja solo o casi solo contra una organización criminal o corrupta
U09,Elena,definido,Viaje a Darjeeling,Mi Idaho privado,Melinda y Melinda,La ciencia del sueño,Un beso,Algo tranquilo sobre personas que intentan reconectar o entenderse después de una distancia larga
U10,Facundo,definido,Sátántangó,Corazón salvaje,Mi Idaho privado,La ciencia del sueño,Sympathy for Mr. Vengeance,"Algo que sea difícil de clasificar, con una lógica narrativa propia, no convencional"
U11,Julián,ambiguo,El rey león,RoboCop,Orgullo y prejuicio,Rec,El secreto de sus ojos,"No sé bien, algo que valga la pena ver un domingo a la noche, que enganche desde el principio"
U12,Mariana,ambiguo,Amélie,Troya,El exorcista,Intocable,Una mente brillante,"Quiero algo distinto a lo de siempre, pero tampoco tan raro, con buenas actuaciones supongo"
U13,Nicolás,ambiguo,Titanic,El señor de los anillos: La comunidad del anillo,Scary Movie,Philadelphia,Kill Bill,"Algo que pueda ver con amigos o solo, que no sea muy larga ni muy corta"
U14,Paula,ambiguo,Lost in Translation,Transformers,Mamma Mia!,Réquiem por un sueño,Paddington,"No tengo ganas de pensar mucho, pero tampoco quiero algo vacío, algo intermedio"
